Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1740149596642,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1.7588043212890625,0.04773712158203125,0.16271209716796875,1.5362625122070313,3.0203018188476563,0,1.25439453125,0,0.41710662841796875,0.15842437744140625,0.38419342041015625,0,24115.86944580078,27724.67266845703,124508.51196289063,6613.5985107421875,17012051968,15032385536,7866769408,0
200,1740149596842,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2.9067916870117188,0.77166748046875,0.983306884765625,1.8624038696289063,3.5822830200195313,0.89154052734375,1.2379837036132813,4.105018615722656,4.298515319824219,0.72149658203125,1.2610855102539063,0.7659149169921875,24115.99835205078,27725.040771484375,124508.64068603516,6613.5985107421875,17012051968,15032385536,7878238208,0
200,1740149597043,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1.030181884765625,0,1.0274276733398438,1.1421890258789063,3.2134017944335938,0.31097412109375,0.21844482421875,0,0.32859039306640625,0.4635772705078125,0.05866241455078125,0.2031402587890625,24116.12957763672,27725.433166503906,124508.7836303711,6613.601989746094,17012051968,15032385536,7876456448,0
200,1740149597243,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,20.842742919921875,18.022171020507813,24.8360595703125,13.595748901367188,20.87334442138672,20.09497833251953,21.97937774658203,10.300544738769531,19.27910614013672,19.89594268798828,23.52667236328125,5.9665374755859375,24116.327026367188,27726.916870117188,124509.974609375,6613.60595703125,17012051968,15032385536,7868682240,0
199,1740149597444,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1.4135284423828125,0,0,0,2.1441879272460938,0,0.28417205810546875,0,0.2463531494140625,0,0.9961700439453125,0,24116.460388183594,27727.33056640625,124510.1342163086,6613.60595703125,17012051968,15032385536,7869030400,0
199,1740149597644,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,3.2225494384765625,0.57275390625,0.788909912109375,2.4566726684570313,3.379974365234375,1.0887680053710938,1.311065673828125,0.71978759765625,1.6759033203125,1.8529510498046875,1.1545944213867188,0.6265411376953125,24116.593505859375,27727.76580810547,124510.31616210938,6613.6102294921875,17012051968,15032385536,7868928000,0
200,1740149597844,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2.0157699584960938,1.0613784790039063,1.4032058715820313,1.311920166015625,4.1044158935546875,1.9114151000976563,3.0909576416015625,1.3741912841796875,1.5737457275390625,1.5588455200195313,1.34820556640625,1.0886993408203125,24116.720458984375,27728.118774414063,124510.42694091797,6613.6102294921875,17012051968,15032385536,7871451136,0
200,1740149598044,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2.45306396484375,0,0.7039260864257813,0,2.1595230102539063,0,0,0,0,0,1.3765411376953125,0,24116.849182128906,27728.490356445313,124510.55749511719,6613.6102294921875,17012051968,15032385536,7871729664,0
200,1740149598245,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,3.6628341674804688,1.0560150146484375,2.322723388671875,3.5209121704101563,5.5755462646484375,1.4660263061523438,2.7431106567382813,1.2164306640625,1.3062515258789063,2.1624069213867188,1.7949600219726563,1.6353378295898438,24116.98614501953,27728.9365234375,124510.74157714844,6613.6177978515625,17012051968,15032385536,7870644224,0
199,1740149598445,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,3.7611236572265625,0.8495941162109375,2.1689682006835938,2.2155838012695313,10.243461608886719,0.673370361328125,4.6627655029296875,1.2365798950195313,1.8813858032226563,8.369606018066406,8.441337585449219,0.8940048217773438,24117.123901367188,27729.59051513672,124511.13073730469,6613.624267578125,17012051968,15032385536,7862325248,0
