Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
204,1742768719910,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.208702087402344,53.92718505859375,54.971466064453125,54.5859375,52.69750213623047,55.27927780151367,54.2482795715332,55.2791633605957,53.662376403808594,51.2626953125,38.095237731933594,38.095237731933594,61.904762268066406,50,23.809524536132813,20,38.095237731933594,10,10,9.523809432983398,12.508719444274902,17179869184,2147483648,12970524672,748290048
204,1742768720115,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.208702087402344,53.92718505859375,54.971466064453125,54.5859375,52.69750213623047,55.27927780151367,54.2482795715332,55.2791633605957,53.662376403808594,51.2626953125,40,40,60.000003814697266,50,10,4.761904716491699,5,0,0,0,12.508719444274902,17179869184,2147483648,12970524672,748290048
204,1742768720320,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.208702087402344,53.92718505859375,54.971466064453125,54.5859375,52.69750213623047,55.27927780151367,54.2482795715332,55.2791633605957,53.662376403808594,51.2626953125,33.333335876464844,38.095237731933594,25,86.36363983154297,9.523809432983398,0,0,4.761904716491699,0,0,14.506882667541504,17179869184,2147483648,12972720128,748290048
197,1742768720531,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.208702087402344,53.92718505859375,54.971466064453125,54.5859375,52.69750213623047,55.27927780151367,54.2482795715332,55.2791633605957,53.662376403808594,51.2626953125,15.000000953674316,25,33.333335876464844,20,57.142860412597656,4.761904716491699,0,0,0,0,14.506882667541504,17179869184,2147483648,12965494784,748290048
204,1742768720729,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.208702087402344,53.92718505859375,54.971466064453125,54.5859375,52.69750213623047,55.27927780151367,54.2482795715332,55.2791633605957,53.662376403808594,51.2626953125,65,52.38095474243164,65,10,25,14.285715103149414,5,0,0,5,14.506882667541504,17179869184,2147483648,12966002688,748290048
201,1742768720934,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.90980529785156,52.925472259521484,54.670326232910156,54.01628875732422,51.95259094238281,54.05006408691406,51.64651870727539,52.98042297363281,52.17430114746094,50.069801330566406,20,20,95.23809814453125,9.523809432983398,5,5,0,5,0,0,14.506882667541504,17179869184,2147483648,12966887424,748290048
204,1742768721136,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.90980529785156,52.925472259521484,54.670326232910156,54.01628875732422,51.95259094238281,54.05006408691406,51.64651870727539,52.98042297363281,52.17430114746094,50.069801330566406,33.333335876464844,30.000001907348633,85,26.3157901763916,20,10,14.285715103149414,5,15.000000953674316,10,14.506882667541504,17179869184,2147483648,12966887424,748290048
203,1742768721341,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.90980529785156,52.925472259521484,54.670326232910156,54.01628875732422,51.95259094238281,54.05006408691406,51.64651870727539,52.98042297363281,52.17430114746094,50.069801330566406,30.000001907348633,35,30.000001907348633,28.571430206298828,10,57.142860412597656,14.285715103149414,5,4.761904716491699,0,14.372689247131348,17179869184,2147483648,12918308864,748290048
204,1742768721545,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.90980529785156,52.925472259521484,54.670326232910156,54.01628875732422,51.95259094238281,54.05006408691406,51.64651870727539,52.98042297363281,52.17430114746094,50.069801330566406,38.095237731933594,33.333335876464844,40,33.333335876464844,28.571430206298828,30.000001907348633,0,4.545454502105713,4.761904716491699,0,14.372689247131348,17179869184,2147483648,12933103616,748290048
204,1742768721750,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.90980529785156,52.925472259521484,54.670326232910156,54.01628875732422,51.95259094238281,54.05006408691406,51.64651870727539,52.98042297363281,52.17430114746094,50.069801330566406,21.052631378173828,30.000001907348633,30.000001907348633,47.619049072265625,38.095237731933594,5,5,0,0,0,14.372689247131348,17179869184,2147483648,12933103616,748290048
204,1742768721955,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.69696807861328,53.08192443847656,54.26240539550781,53.28998565673828,51.85929870605469,54.53565216064453,51.36515426635742,52.80156326293945,52.309783935546875,50.44195556640625,33.333335876464844,30.000001907348633,66.66667175292969,52.6315803527832,42.85714340209961,28.571430206298828,52.38095474243164,26.3157901763916,20,15.000000953674316,14.372689247131348,17179869184,2147483648,12933103616,748290048
203,1742768722160,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.69696807861328,53.08192443847656,54.26240539550781,53.28998565673828,51.85929870605469,54.53565216064453,51.36515426635742,52.80156326293945,52.309783935546875,50.44195556640625,10,10,33.333335876464844,4.761904716491699,70,0,0,4.761904716491699,4.545454502105713,0,14.372689247131348,17179869184,2147483648,12933103616,748290048
202,1742768722363,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.69696807861328,53.08192443847656,54.26240539550781,53.28998565673828,51.85929870605469,54.53565216064453,51.36515426635742,52.80156326293945,52.309783935546875,50.44195556640625,23.809524536132813,19.047618865966797,55,20,55,15.000000953674316,15.000000953674316,4.761904716491699,0,9.523809432983398,10.405072212219238,17179869184,2147483648,12937281536,748290048
204,1742768722566,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.69696807861328,53.08192443847656,54.26240539550781,53.28998565673828,51.85929870605469,54.53565216064453,51.36515426635742,52.80156326293945,52.309783935546875,50.44195556640625,52.6315803527832,57.142860412597656,35,35,33.333335876464844,30.000001907348633,14.285715103149414,5,0,0,10.405072212219238,17179869184,2147483648,12985253888,748290048
202,1742768722771,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.69696807861328,53.08192443847656,54.26240539550781,53.28998565673828,51.85929870605469,54.53565216064453,51.36515426635742,52.80156326293945,52.309783935546875,50.44195556640625,71.42857360839844,80,52.38095474243164,42.85714340209961,10,5,15.000000953674316,5,0,0,10.405072212219238,17179869184,2147483648,12990611456,748290048
203,1742768722974,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.09516906738281,53.237911224365234,53.89781188964844,52.95676803588867,52.593955993652344,54.83906555175781,52.39459228515625,53.46778106689453,52.86287307739258,50.79670715332031,30.000001907348633,26.3157901763916,38.095237731933594,35,30.000001907348633,15.000000953674316,4.761904716491699,0,0,4.761904716491699,10.405072212219238,17179869184,2147483648,12990611456,748290048
204,1742768723178,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.09516906738281,53.237911224365234,53.89781188964844,52.95676803588867,52.593955993652344,54.83906555175781,52.39459228515625,53.46778106689453,52.86287307739258,50.79670715332031,45,47.619049072265625,42.105262756347656,20,30.000001907348633,28.571430206298828,21.052631378173828,4.761904716491699,10,0,10.405072212219238,17179869184,2147483648,12990611456,748290048
11,1742768723383,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.09516906738281,53.237911224365234,53.89781188964844,52.95676803588867,52.593955993652344,54.83906555175781,52.39459228515625,53.46778106689453,52.86287307739258,50.79670715332031,19.047618865966797,15.000000953674316,9.523809432983398,14.285715103149414,5,0,4.761904716491699,0,0,0,12.505976676940918,17179869184,2147483648,12824379392,748290048
